"Episode ID"	"Cycle"	"Day"	"Second"	"Microsecond"	"th1"	"w1"	"th2"	"w2"
0	0	0	0	0	-0.06646187481937682	0.0	-0.005785214369273428	0.0
0	1	0	0	40000	-0.5187555745552288	-23.251445646040775	-0.003763725346800584	0.16048104367324134
0	2	0	0	80000	-1.7755765749059265	-41.35407691308916	0.015202479762137955	0.9635496013867522
0	3	0	0	120000	-3.3183386657180733	-37.95998734692271	0.08573569551541027	2.8495463651011095
0	4	0	0	160000	-4.540917867050553	-24.912570039881274	0.25253232024377326	5.884215508533193
0	5	0	0	200000	-5.6007726554292105	-29.582222846438484	0.5570511247729542	9.88843710144525
0	6	0	0	240000	-6.723284229394409	-28.150231276923446	1.0374100257386942	14.931326605787266
0	7	0	0	280000	-8.29451490775864	-52.5686525246979	1.7353858725237785	21.036027227060483
0	8	0	0	320000	-10.231756210959105	-47.07238270894937	2.6970973633545725	28.580151399764784
0	9	0	0	360000	-12.201675444466986	-54.166743431797	3.9851183944852266	37.701746833494454
0	10	0	0	400000	-14.600583717974018	-68.99624431360316	5.652817721050411	47.9632401744196
0	11	0	0	440000	-17.961207588926158	-103.13481964677085	7.724521956380329	58.03369001983111
0	12	0	0	480000	-22.195896071447038	-114.1298162770025	10.163451673190622	66.91596873848344
0	13	0	0	520000	-26.652225897223786	-114.68865294102426	12.937658402631655	75.3261005628148
0	14	0	0	560000	-31.581013044890852	-137.78002672810632	16.010846744289154	81.56307789052873
0	15	0	0	600000	-37.26891501594653	-153.8508819404745	19.245130028093513	83.62769108774806
0	16	0	0	640000	-43.30997940887087	-156.28202495069314	22.49694383169623	82.85816463687117
0	17	0	0	680000	-49.94052363065845	-183.78418856827346	25.648399075909595	77.46356124006206
0	18	0	0	720000	-57.71036297261304	-215.06735158123095	28.42245360163949	63.05358370257433
0	19	0	0	760000	-66.6523324819933	-244.3545310826451	30.42175951043015	37.474415558441905
0	20	0	0	800000	-76.91548203048127	-283.2958897204827	31.154973201961695	-2.820821081685722
0	21	0	0	840000	-88.44320420112719	-308.9408735244783	29.992011165597404	-59.104085612649456
0	22	0	0	880000	-101.41470297657267	-357.5521377818114	26.312082151614874	-133.29258964839644
0	23	0	0	920000	-116.55721482967547	-419.8367501334679	19.287110277824382	-231.01952124151916
0	24	0	0	960000	-133.96434355759308	-471.55465122199826	8.053963424386325	-346.7844767160256
0	25	0	1	0	-152.9300927584121	-496.9745288360821	-7.768882431456859	-462.99772046205027
0	26	0	1	40000	-171.92807579166035	-470.39412042730544	-27.767335449205547	-556.8256608221673
0	27	0	1	80000	170.62593343370014	-416.6399529545269	-50.74003844792571	-615.2293846741842
0	28	0	1	120000	156.0037157329711	-326.2151084835985	-75.2773939271706	-637.3876968629875
0	29	0	1	160000	145.38518209478946	-214.01738997540423	-100.12564096615438	-634.6094533400413
0	30	0	1	200000	139.49992676204278	-85.88818975113321	-124.77542024043694	-632.0670488307335
0	31	0	1	240000	139.15485873323973	71.20127525088938	-149.87672617672126	-665.2050361740432
0	32	0	1	280000	145.2558476421421	250.91514163666696	-177.94593053431785	-797.8105502657579
0	33	0	1	320000	158.82907324726614	384.1249087046057	147.4233530148079	-913.6385227797813
0	34	0	1	360000	169.799758207914	175.76294504585448	115.83184173044583	-715.2587106536974
0	35	0	1	400000	173.50454177094946	21.440119777382787	89.87638713240852	-633.0546596818058
0	36	0	1	440000	172.1201409232777	-90.66928739950204	65.55197758967932	-622.1925297120258
0	37	0	1	480000	166.0303239794706	-220.61739694772064	40.936623097038705	-642.7290182831148
0	38	0	1	520000	155.33022612426748	-324.64813140524484	15.361270483742942	-668.2207396769218
0	39	0	1	560000	140.67664998774273	-421.14194775654835	-11.003226036541747	-680.1104075571207
0	40	0	1	600000	123.10583880069589	-474.46313395212763	-37.44143377050651	-673.608565829723
0	41	0	1	640000	104.79259507179506	-461.28868045358803	-63.551984840265604	-667.2594372973243
0	42	0	1	680000	86.76915315307696	-459.561856451754	-89.57636302444732	-667.6724623840336
0	43	0	1	720000	68.73373895147287	-461.77981419963686	-115.62083070783642	-667.4210834647741
0	44	0	1	760000	51.86624300281761	-398.546838445674	-141.51625159325837	-657.3328942299761
0	45	0	1	800000	37.938631160292545	-310.9427777063659	-166.55001902762183	-621.541694999731
0	46	0	1	840000	27.278244320995668	-233.78530287659018	170.28311568423084	-564.7274382831322
0	47	0	1	880000	20.37414974649647	-121.69136651432152	149.49173503914892	-501.2732795212531
0	48	0	1	920000	17.30284627093681	-38.39772426177176	131.07035665864862	-445.9986636251404
0	49	0	1	960000	17.41011508794989	41.54416153820867	114.46897554287915	-408.7441240666056
0	50	0	2	0	19.93124211500242	86.68351184589586	98.91163080059295	-392.6022954300694
0	51	0	2	40000	24.243396651265897	134.61185748260098	83.55150121527066	-399.2995082837367
0	52	0	2	80000	30.782313999236948	202.66375443898062	67.37589489489281	-435.96859400179386
0	53	0	2	120000	40.51393541313698	293.64700064536095	49.213316769505354	-493.30422839648224
0	54	0	2	160000	52.38744576907331	298.8468450484602	30.110327042117433	-466.06099462152304
0	55	0	2	200000	63.078707388544615	250.76074687497587	13.463549487874417	-390.280296002191
0	56	0	2	240000	71.86779388251944	203.56121849084013	-0.7305475925737426	-342.757605464386
0	57	0	2	280000	79.70544088969149	200.02135097138185	-13.538179489510583	-316.0240212371119
0	58	0	2	320000	87.29679271265604	190.53734076159614	-25.516812331802583	-299.8610286200199
0	59	0	2	360000	94.53420065611346	181.33051140026595	-37.03302840192379	-291.8949424182662
0	60	0	2	400000	101.63646555937953	183.8959874610173	-48.346442971898455	-288.67445988630345
0	61	0	2	440000	108.6590601607943	176.8124318915512	-59.57825002903917	-287.64929043432375
0	62	0	2	480000	115.8496952682118	193.11135240458393	-70.79145128748326	-287.672952533979
0	63	0	2	520000	123.27348417837618	189.21447823950518	-82.07465699810831	-291.90787731645753
0	64	0	2	560000	131.1028039481078	213.13425328589057	-93.68527181922835	-305.85113673252863
0	65	0	2	600000	140.00338225516077	245.00459147937198	-106.1502277833413	-336.7649665632794
0	66	0	2	640000	150.51328767795115	297.8274375286457	-120.30799379701992	-395.5782236539988
0	67	0	2	680000	163.63121244505095	384.851177268199	-137.73451845362024	-512.2284820493521
0	68	0	2	720000	-178.18192107443042	557.561329994882	-161.86019070621666	-739.2308382632697
0	69	0	2	760000	-156.64750645876276	480.73802495878846	169.36979024150077	-646.9658957936591
0	70	0	2	800000	-140.87767363406664	343.32086371730986	148.17086273765256	-463.1219554392333
0	71	0	2	840000	-128.94003214357784	275.6822863502488	131.96667649275383	-378.20708343288436
0	72	0	2	880000	-119.02298221173976	235.83144552386852	118.11509072807934	-337.2012987268748
0	73	0	2	920000	-110.7448594298627	189.1476561806913	105.32063454365857	-322.941218046088
0	74	0	2	960000	-104.29995795815275	141.70981099686102	92.67991449194989	-327.2507342107405
0	75	0	3	0	-99.36158514527212	114.1371870363193	79.78455183840794	-332.45744283386523
0	76	0	3	40000	-94.67066195801844	128.68871151912862	66.92428304595015	-325.10736136484235
0	77	0	3	80000	-89.9635704021951	114.51889812051199	54.51993501115891	-310.4710682394653
0	78	0	3	120000	-85.75559903617055	102.13711351875628	42.701259095095224	-296.0897624648235
0	79	0	3	160000	-81.99084677488854	91.28127235298032	31.37402234698166	-285.52224582879325
0	80	0	3	200000	-78.56353100244957	84.55873632028128	20.370282507222583	-279.56329005378853
0	81	0	3	240000	-75.42854181829556	76.22370364578211	9.509111672059419	-278.14823808816027
0	82	0	3	280000	-72.63636116784444	66.89955324140202	-1.38177540134987	-281.0876456375995
0	83	0	3	320000	-69.9454010525131	71.24300697453113	-12.482448620436315	-289.16880125356784
0	84	0	3	360000	-66.94557128400852	82.94072207151433	-24.0201915092953	-303.62888716916495
0	85	0	3	400000	-63.760366780000254	79.74212168094856	-36.23167379732007	-322.98105779401453
0	86	0	3	440000	-60.33380861465477	94.55230322687558	-49.19541775339417	-340.63781828907753
0	87	0	3	480000	-57.27787985978111	58.71280851557903	-62.605389954092445	-343.93337425926126
0	88	0	3	520000	-56.014902436773	4.333766034187196	-75.83349856363697	-333.03162871649437
0	89	0	3	560000	-57.065562618056546	-58.64139631271644	-88.53061473355423	-317.7887091094124
0	90	0	3	600000	-60.30502431931767	-107.86908657155007	-100.59651308374609	-300.56472959024154
0	91	0	3	640000	-65.83243180786202	-175.8138259524835	-111.90043667548838	-277.46324810878485
0	92	0	3	680000	-73.71500795988209	-228.5467923453951	-122.08953577286744	-242.99992094244007
0	93	0	3	720000	-83.55699789633609	-276.2409142289714	-130.67705904654636	-194.95501138521178
0	94	0	3	760000	-95.46641161263138	-335.2285612300835	-137.06589978012684	-129.2085966303849
0	95	0	3	800000	-110.12958754454519	-419.17403039386585	-140.43327811394906	-38.9930381814147
0	96	0	3	840000	-128.22980541302633	-508.27710195607284	-139.9555400733043	59.301341815949485
0	97	0	3	880000	-148.9869760321326	-541.2796771036403	-137.12953507152724	57.63238368170911
0	98	0	3	920000	-168.71008873285984	-467.15242382043243	-137.15680173997623	-67.56623840723798
0	99	0	3	960000	174.09946019538978	-413.2579574688818	-142.5675685786917	-209.4907415234888
0	100	0	4	0	159.30281242931142	-343.06316912551074	-153.34036698973028	-340.0212815764564
0	101	0	4	40000	147.4671107298521	-260.3330848062468	-168.87234450641472	-454.1956762545883
0	102	0	4	80000	139.06379312216615	-168.16757331366938	171.337940886262	-560.2079386784836
0	103	0	4	120000	134.95796796938566	-47.55759675399838	147.56838274694837	-652.7894181346878
0	104	0	4	160000	133.57045081876095	-45.370982479390385	121.63077260127852	-654.651480562609
0	105	0	4	200000	130.94721826846353	-95.92344396256567	97.72334693084952	-566.6041947576197
0	106	0	4	240000	125.92993727757101	-159.03643607091158	77.37067130276341	-479.85254315172295
0	107	0	4	280000	118.30924974393037	-228.31187704480422	60.14521400578437	-404.2261083203125
0	108	0	4	320000	108.73241115045283	-259.6876139334981	45.79508680973882	-332.43655486835297
0	109	0	4	360000	97.9127702977512	-292.89086362309183	34.19961344384791	-261.90600811353676
0	110	0	4	400000	86.56714624309677	-287.07423745419277	25.30997714191949	-195.77404626484145
0	111	0	4	440000	75.60221620645945	-274.08396218196964	18.779664030502573	-141.10230770832803
0	112	0	4	480000	64.81393875086599	-279.0434210427317	14.195938822989262	-94.70889143883063
0	113	0	4	520000	54.399590277933015	-254.30277082852749	11.269468056080257	-57.74145723852847
0	114	0	4	560000	44.52880647112991	-252.0867190234785	9.562371169785735	-30.773135321620597
0	115	0	4	600000	34.360802952178574	-270.3274127362677	8.826792126154402	-7.114242968148848
